Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
Business Analysis & Process Management,By NG T S,"Apr 9, 2021",Too short and easy.,2
Business Analysis & Process Management,By Moh. S A A A,"Jun 29, 2022",I think this is a very useful course as it is a guided project for beginners and professionals who run small  businesses or work in the fields of business analysis and business process management. I gained some prior knowledge to analyze the company from a process perspective and further developed the skills needed to find solutions to  business problems.,5
Business Analysis & Process Management,By Syed A A,"May 31, 2021",Just completed Business Analysis and Process Management Course from ,5
Business Analysis & Process Management,By Julio C S G,"Jun 26, 2022",Conceptos basicos claros acerca del analisis de negocios y gestion de procesos,5
"Python for Data Science, AI & Development",By David J,"Apr 20, 2019","Course focuses more on forcing you to sign up for various IBM cloud tools than learning python.  The final assignment has a 300+ reply thread in the discussion forum because you are graded on the ability to integrate your IBM Watson Notebook with IBM cloud storage, but the instructions have multiple errors, such as not working if you provision your storage in the wrong region.",1
"Python for Data Science, AI & Development",By Ruben F,"Nov 26, 2018",Still I don't understand the relation of the course' content and the final assignment. ,1
"Python for Data Science, AI & Development",By Jiayang Z,"Feb 12, 2019","The worst course I took. I couldn't believe the course is provided by IBM. The slide is completely unclear and there are some small mistakes in that. And the final project is aimless, I don't know why you come up with such a project for the beginner. Anyway, I'm so disappointed with IBM and this course. ",1
"Python for Data Science, AI & Development",By Julian L G,"Jan 4, 2019","It is amazing how bad this is considering that it is marketed as an IBM product. This is not the level of quality people expect when they hear the name IBM! You'd be better off paying 9.99 for a Udemy course than taking this course. It is not in depth at all and does a stunningly poor job at building real understanding and competency. The videos and labs are full of sloppiness and errors... again, not living up to the IBM name. I don't know about y'all, but I'm probably never going to pay money for a coursera course again... not really worth it.",1
"Python for Data Science, AI & Development",By Robert I,"May 10, 2019","I had a lot of problems with the Peer Assignment, which had nothing to do with Python Programming. The Watson environment has changed a lot compared to the learning materials.",1
"Python for Data Science, AI & Development",By William B L,"Mar 15, 2019","Every course has offered something interesting, challenging, and surprising.  I am glad I have spent the time with this class.  I would strongly recommend it to others with an interest in data science.",5
"Python for Data Science, AI & Development",By Aykut Ö,"Mar 4, 2019","  As in the other parts of the certificate, the tasks are simply too easy. The content in the videos (many typos!!!!) are really valuable but the tasks man... Only the surface of the surface will be discussed, no deeping down into the wild. In this course the libraries numpy and pandas are presented but in the final assignment we actually don't needed the libs... When I read the description of the final assignment, I was excited because I assumed we will need to code EVERYTHING ourselves. So really do the thinking of how to solve the requirements, testing it in a notebook out, reading the docs, discovering new cool stuff... But unfortunately my dream did not come true. The most exciting function was already provided and some of the answers were little bit of copy and paste instead of really recalling newly learned knowledge. Before this review I really wanted to give 4 out of 5 stars but after writing this review I will now give only 2 stars. Actually, 2 stars are in my opinion unfair, since the creators have put a lot of time and love in the course content. Unfortunately, so much potential is thrown away  ",2
"Python for Data Science, AI & Development",By Asim I,"May 21, 2019", (5 stars):  Course was great!!  ,1
"Python for Data Science, AI & Development",By Declan H M G,"May 22, 2019","The course content is good. However, the instructions for the final peer graded assignment are unclear. It appears to me that we were graded on our ability to interact with IBM cloud and Watson service not so much python skills also. Although I completed, I would not recommend to other until changes are made. It seems I'm not the only one that is unhappy or who had difficulties, just look at the week 5 discussion forum!",1
"Python for Data Science, AI & Development",By Jennifer P,"Dec 27, 2018","This class was supposed to be for beginners and most of the information in the videos was easy to digest, however, the final project had elements and questions that were never covered. Also, there were many, many spelling and context errors in the videos and quizzes. This lead to a tremendous amount of confusion and I am not happy with this course or my grade. Please consider reviewing the lessons and final project to cater this course more to beginners.",1
"Python for Data Science, AI & Development",By Steve O,"Oct 31, 2018","The IBM cloud ""service"" leaves much to be desired. Multiple times I've experienced outages while I was in the middle of lab assignments. It's a paid course where they give you ""free"" credits to do the course work in their cloud ""service."" But the credits are inadequate for the labs and they constantly ask for your credit card to buy more ""service."" While the class is okay I wouldn't recommend it to anyone because of the poor IBM cloud support.",1
"Python for Data Science, AI & Development",By Het P,"Feb 18, 2019","Time waster, doesn't go in depth, the total video content is of less then 2 hours. The quizzes and assignments are too easy.",1
"Python for Data Science, AI & Development",By Jason U,"Nov 15, 2018",The final project at week 5 needs to be completely revamped.  Poor learning experience...absolutely ridiculous and is creating tremendous frustration amongst all students.,1
"Python for Data Science, AI & Development",By Muhammad U A,"May 17, 2020",The syllabus of the course takes you in a roller-coaster ride.,5
"Python for Data Science, AI & Development",By Michael R,"Aug 31, 2018","No support from moderators, plenty of typos.",1
"Python for Data Science, AI & Development",By Farzaneh G,"Jan 8, 2019","It was basic Python. You need this to be able to use Python for data science, however the name of the course could have been Python 101.",4
"Python for Data Science, AI & Development",By Semant J P,"May 6, 2019","Overall, the course lectures are highly condensed and fly by very quickly. I'm familiar with Python but I still had to go back and review them a few times. Would prefer the video materials to be reviewed more slowly and deliberately.",3
"Python for Data Science, AI & Development",By Vigneshwaran P,"Mar 2, 2019","Need detailed explanation for the topics, course need to be rephrased accordingly.",1
"Python for Data Science, AI & Development",By Thabo M,"Nov 19, 2019","it becomes easier wand clearer when one gets to complete the assignments as to how to utilize what has been learned. Practical work is a great way to learn, which was a fundamental part of the course.",5
"Python for Data Science, AI & Development",By Sujai C,"Apr 19, 2019",The programming assignment had errors and it took a long time to figure out  (e.g. wrong endpoint was specified).  I ended up having to waste a lot of time on this.,2
"Python for Data Science, AI & Development",By ruhul a,"Mar 27, 2020","Python is just what is in trend and not because of its usability, but it is just anybody can use with wide use case in each and every domain. A good start for someone looking for a start with Python   ",5
"Python for Data Science, AI & Development",By Fredrik R,"Mar 18, 2019",Seems to teach fundamentals but the final graded assignment had very little to do with what was taught,2
"Python for Data Science, AI & Development",By Arjan Z,"May 23, 2019","the final assignment was extremely poorly set-up. Instructions were full of gaps, omissions, spelling mistakes. Looked like it was written by a deep-expert who assumed a lot of knowledge that you do not have at this entry level and that was nowhere made explicit. I spend many hours on a number of evenings figuring what was meant. If this lead to constructive learning, I'd be OK with it. But now it was just a long egg-hunt to figure out how I was to post something using idiosyncratic IBM infrastructure which taught me little about Python. Was this course even test driven?",1
"Python for Data Science, AI & Development",By Simon O,"Apr 20, 2019",Final test needs to be actually tested by instructors. Has a few bugs in it. You would learn more about python reading a book. ,1
"Python for Data Science, AI & Development",By Pranay C,"May 27, 2019","Very good course for people who do not know Python. It just starts with the basic and focuses on data structures which is essential for Data Science. Does not teach you any unessential Python syntax which will not be useful in this specialization course. If you know any programming language, you will get it (because Python is easier and simpler than the language you know :)",5
Introduction to Microsoft Excel,By Kaitlin O,"Dec 14, 2021","if you have ANY knowledge of excel, don't waste your time with this. i could have figured this stuff out by opening an excel doc. you will learn how to bold/underline a header and sum a column of data. if you want more in depth knowledge of excel, try a different course.",1
Introduction to Microsoft Excel,By Malu C,"Aug 5, 2022",An excellent and easy to understand course for those who need to use excel for work or school but have no idea of how to get started. This course will guide you with all the basics,5
Introduction to Microsoft Excel,By Kevin A,"Jan 18, 2023",A little less content than expected but the title does say it's just an intro plus it's free. The explanations are clear and the course is quite engaging.  The Coursera platform is very user-friendly.,5
Introduction to Microsoft Excel,By Aron A S,"Apr 13, 2022",this is best for begginner guided course in excel which will help him/her the power of excel,5
Introduction to Microsoft Excel,By AYSHA S,"Feb 9, 2024","After completing the course, I was hoping to have a deeper understanding of the subject matter. However, I found that the course only touched on the surface-level concepts and lacked in-depth analysis. The course content was quite basic and did not provide any new insights or knowledge that I was not already aware of. Overall, I was disappointed with the course and felt that it did not meet my expectations. I had expected the course to be more detailed, but unfortunately, I didn't gain much knowledge. The material covered in this course is quite basic.",1
Introduction to Microsoft Excel,By Ayesha N,"Feb 17, 2024","Complete waste of time for someone who knows the VERY BASICS of excel. if you have never even heard of excel before then this is for you, but even then there would be better ways to learn the basics",1
Introduction to Microsoft Excel,By HARSH A,"Mar 25, 2022",This guided project is very practical and way better than theoretical learning.,5
Introduction to Microsoft Excel,By jess m,"Jul 18, 2022",VERY basic intro to Excel. Great clear instructions and easy to do.,5
Introduction to Microsoft Excel,By Zyrus A,"Jul 8, 2022","Ever since I started working in our office a month ago, Microsoft Excel was one of the most software apps that I am frequently using whenever I'm doing report—so I took this course to freshen my skills on it once again, and it helped me a lot.  A huge thanks to our kind Professor, Ms. Summer Scaggs for being a good instructor and delivering the lesson very well during the entire online class.  ",5
Introduction to Microsoft Excel,By Annalisa G,"Apr 5, 2022","One question in the quiz is confusing.  It says to ""create a worksheet in Excel that shows the number of states for each sales person.  What would you put as the header for column A and column B (in that order)""  The order of the information provided says ""number of states for each sales person"" which would be option 4, ""No. of States, Salesperson"".  The other interpretation would be option 1, ""Salesperson, No. Of States"".  This question just needs to be more clear so it's not open to interpretation, leading to answering the question incorrectly.",4
Introduction to Microsoft Excel,By Satyam S,"Nov 12, 2022",It is a Good free resource for learning. Use it.,5
Introduction to Microsoft Excel,By Awais A,"Feb 27, 2023",This platform is very helpful for learning skills.,5
Introduction to Microsoft Excel,By Gunjan G,"Aug 14, 2023",Certificate doesn't contain my name on it. also the completion date is wrong on the certificate. this makes it useless for me to do this course,1
Introduction to Microsoft Excel,By Pam F,"Jul 28, 2022",Was hard to navigate and really didn't learn anything to help me with Excel. ,1
Introduction to Microsoft Excel,By tita m,"Dec 6, 2023","Introduction to Microsoft Excel course is an excellent starting point for anyone looking to master spreadsheet skills. The course provides a clear and comprehensive overview of Excel’s functionalities, making it accessible for beginners. The instructor breaks down complex concepts into manageable segments, making it easy to follow along and understand.",5
Introduction to Microsoft Excel,By Fajar S,"Jan 12, 2024","Recommended for kids around elementary school who just started to gain hands-on experience using cloud based productivity applications such as Microsoft 365 family.
Also apply to mature people who just switching from old fashioned desktop oriented office productivity suit into cloud based modern office productivity suits.",5
Introduction to Microsoft Excel,By Alexander A,"Jan 13, 2023",A very short course that can be finished withing an hour but only goes over very basic functions and layout of excel. for me it was a great starting point to lunch me into more content for excel ,5
Introduction to Microsoft Excel,By WAQAS A,"Jun 26, 2022",such a tremendous guided project it looks difficult to start it  but when you start it the instructure makes it very easy i will recommend it at all every where.,5
Introduction to Microsoft Excel,By Jiayu F,"Aug 6, 2022","Nice video and useful project. Even though the knowledge is pretty entry-level, but it really teaches me some useful shortcuts in Excel",5
Introduction to Microsoft Excel,By Brandy B,"May 28, 2022",Great introduction class and easy for anyone to understand. ,5
Introduction to Microsoft Excel,By Indigo R,"May 17, 2024","difficult to understand instructor, the audio is high-pitched and grating, the video is too small to see properly to work side-by-side in the lab, lab is difficult to use as described by the instructor. Looking for another education source ",1
Introduction to Microsoft Excel,By Esteban G J,"May 1, 2024","The instructor was not aware of the formulas that Excel has to offer. Instead of inserting ""=Sum(x:y), the instructor just wrote ""= "" and individually selected each cell to followed by a plus sign after each cell. ",1
Introduction to Microsoft Excel,By Devon W,"May 5, 2023",Not Necessary to look at all only 6 mins worth of information that isnt even information thats new to even a beginner it simply explains why microsoft excel was created which is obvious,1
Introduction to Microsoft Excel,By Humberto,"May 26, 2024","Muy mala orientación puesto que busque cursos en español y me sugirieron este, luego de hacer los paso para inscribirme y comenzar me entero que es todo en ingles, gracias, saludos
",1
Introduction to Microsoft Excel,By Martha S,"Dec 2, 2023",there is nothing to learn from or watch. I wanted real videos on how to create real spreadsheets and understand the formulas and pivot tables not just some basic stuff,1
English for Common Interactions in the Workplace: Basic Level,By Elías G (,"Sep 20, 2020",I really loved this course! I've learned a lot and improved my confidence about talking with other in the office. Thanks again and congratulations for a job well done!,5
English for Common Interactions in the Workplace: Basic Level,By Elianel S,"Jan 22, 2021",me encanta es basico y eficaz para aprender mas del dia a dia. me gustaria poder tener la opcion de poder terminarlo y luego pagar mi certificado.,5
English for Common Interactions in the Workplace: Basic Level,By Shivam V,"Apr 27, 2023",It's an amazing course. The teaching meathodolgy is really amazing.  It was a fun time going through this course and learning different aspects of workplace communication,5
English for Common Interactions in the Workplace: Basic Level,By Mary R C A,"Oct 31, 2020","The lectures were very simple and easy to follow. Also, it was good that the number of quizzes is only few because there are already practice questions in every lecture.",5
English for Common Interactions in the Workplace: Basic Level,By Khin S W,"Oct 1, 2020",This is a great course for beginner level. I was enjoyed during this course. I've learned many excellent video. Thank you so much.,5
English for Common Interactions in the Workplace: Basic Level,By Samer T,"Aug 12, 2020",I have been very happy with my experience using coursera It's was High-quality video and flexible time and it's free great for beginner and also  refresh your English grammar. ,5
English for Common Interactions in the Workplace: Basic Level,By Irene t,"Aug 19, 2020",It was really interesting. I understood the difference in the pronunciation of past form of verbs.,5
English for Common Interactions in the Workplace: Basic Level,By SABOGAL P J A,"Aug 16, 2020",Thank you so much for this course.,5
English for Common Interactions in the Workplace: Basic Level,By sanya k,"Aug 19, 2020",It was nice learning ,5
English for Common Interactions in the Workplace: Basic Level,By Felipe R,"Jun 18, 2021",Muy buen curso!! dinámico y las clases trabajan muy bien las diferentes dimensiones de los conceptos que buscan explicar. ,5
English for Common Interactions in the Workplace: Basic Level,By Roman Z,"Aug 21, 2020","Thank you for this course, i was learned how and what's says, I still have so much to do  ",5
English for Common Interactions in the Workplace: Basic Level,By Jeeru R S R,"Sep 10, 2020",very useful to me to improve myself,5
English for Common Interactions in the Workplace: Basic Level,By Paul V G,"Aug 31, 2020",It was fun and informative as well! ,5
English for Common Interactions in the Workplace: Basic Level,By Атаджанова Ю Д,"Aug 5, 2020","большое спасибо, было интересно",5
English for Common Interactions in the Workplace: Basic Level,By HARSHITHA T S,"Sep 9, 2020",It was such a nice experience!,5
English for Common Interactions in the Workplace: Basic Level,By Jordi G,"Sep 9, 2020",Excellent course.,5
English for Common Interactions in the Workplace: Basic Level,By Yurany A T,"Jun 19, 2021","Muy explicado todo, realmente aprendí varias estrategias para leer y escuchar el inglés.",5
English for Common Interactions in the Workplace: Basic Level,By GUNASEKARAN M R,"Aug 21, 2020",the course is very useful to a basic English language learner ,5
English for Common Interactions in the Workplace: Basic Level,By Rusdi B,"Jun 8, 2021",VERY GOOD AND UNDERSTANDABLE FOR BEGINNER LEARNER LIKE ME,5
English for Common Interactions in the Workplace: Basic Level,By 58_Jayhind P,"Sep 17, 2020",It was an awsome experience,5
English for Common Interactions in the Workplace: Basic Level,By Lourdes G,"Jun 27, 2021","me gusto mucho, aprendi.",5
English for Common Interactions in the Workplace: Basic Level,By Lhodjean A,"Sep 3, 2020",very interesting course!,5
English for Common Interactions in the Workplace: Basic Level,By Roshen R I,"Aug 31, 2020",it's concise and pithy,5
English for Common Interactions in the Workplace: Basic Level,By Surayyo S M,"Aug 20, 2020",Madaminova Surayyo5,5
English for Common Interactions in the Workplace: Basic Level,By maryam s,"Sep 9, 2020",very nice and fun,5
Build a free website with WordPress,By K.S.SNEKHA P,"Sep 23, 2022",no certificate provided,1
Build a free website with WordPress,By youssef h,"Aug 23, 2022","very poor english, very less knowledge ",1
Build a free website with WordPress,By Waqar M,"Oct 14, 2022","Hi, if you are an absolute beginner and want that somebody guides you through the path and initial steps then this is a very good guided course for you. In this few hours course, nobody can show you all the features in action. Obviously, you can explore further. ",5
Build a free website with WordPress,By Raf,"Jun 17, 2024","First of all, this is not an intermediate-level course. It's more of a beginner level.
Secondly, the contents here are way too much outdated.",1
Build a free website with WordPress,By PABFA (,"Aug 25, 2023",Why is my name not mentioned in the certificate?,1
Build a free website with WordPress,By Badr E F,"Jan 24, 2024",You must keep up with the update of the website,1
Build a free website with WordPress,By Varakam,"Apr 15, 2024",Not updated,1
Build a free website with WordPress,By Mahd f,"Jun 10, 2023",BAD,1
Build a free website with WordPress,By Courtney K,"Apr 25, 2023",An extremely straightforward and clear guided project. One will be guided through the basics of creating a website on WordPress and become familiar with the menu options for doing so.,5
Build a free website with WordPress,By Christina,"Oct 5, 2023","Regardless of experience or coming into it blind this course was simple, with plenty of visual aide and a basis of what to do in order to give 100% to your blog/site.",5
Build a free website with WordPress,By EMMANUEL E,"Dec 26, 2023",Kudos to Coursera for allowing me to build my knowledge of Website Design on this platform. This is another height of achievement in 2023. ,5
Build a free website with WordPress,By Aman A,"Aug 12, 2023",This was perfect even though I didn't get anything that had to do with web hosting It still taught great on how to create the design.,5
Build a free website with WordPress,By Abdirahman H,"Apr 10, 2023",Thank you Coursera team ,5
Build a free website with WordPress,By 魚仔,"Jul 16, 2022","I looked up tutorials on YouTube and nothing was as comprehensive as this, this helped me a ton.",5
Build a free website with WordPress,By J T,"Feb 23, 2023",Excellent course.  I highly recommend this if you are looking to build a WordPress website.,5
Build a free website with WordPress,By Aleksandra J,"Jul 20, 2022",I learnt nothing.,2
Build a free website with WordPress,By Andrea,"Dec 13, 2023","I was not allowed to send feedback when I was using my ipad to finish the task. This is confusing as when I managed to get a desktop to do so, there is no such option. Also the command of unenroll was not available as claimed by some online guidelines.",1
Build a free website with WordPress,By Ange F,"Jan 21, 2024","I found typos, more than once. And this is simple enough it could be a youtube video. I want to unenroll.",1
Build a free website with WordPress,By Memoona S,"Apr 7, 2024",There is no option to unenroll from this course,1
Build a free website with WordPress,By Lauren C,"Mar 20, 2024",Not helpful at all.,1
Build a free website with WordPress,By Aryan A,"Apr 18, 2024","Title: Empowering Personal Expression: A Review of WordPress for Website Building

In today's digital age, having an online presence is essential for personal and professional growth. Fortunately, platforms like WordPress have democratized website creation, offering a user-friendly interface that empowers individuals to showcase their ideas, talents, and businesses with ease.

WordPress, a free and open-source content management system, stands out as a premier choice for building websites, whether you're a novice or an experienced developer. Its intuitive interface, extensive customization options, and robust community support make it a versatile tool for creating stunning websites tailored to your unique vision.

One of the most striking features of WordPress is its accessibility. With no upfront costs, anyone can sign up and start building their website immediately. The platform offers a wide range of free themes and plugins, allowing users to personalize their sites without the need for coding knowledge. From blogs and portfolios to e-commerce stores and forums, WordPress caters to diverse needs with its flexible design options.

Moreover, WordPress's user-friendly dashboard makes managing content a breeze. Whether you're adding new pages, uploading media, or moderating comments, the interface is intuitive and easy to navigate. For those who want more control over their site's design and functionality, WordPress also offers access to custom CSS and HTML editing, enabling endless possibilities for creativity and innovation.

Beyond its ease of use, WordPress boasts a vibrant community of users and developers who contribute to its ongoing evolution. From support forums and tutorials to meetups and workshops, there's no shortage of resources available to help users master the platform and troubleshoot any challenges they may encounter along the way.

In conclusion, WordPress empowers individuals to unleash their creativity and share their passions with the world through the medium of a website. Whether you're a budding entrepreneur, a creative professional, or simply someone who wants to make their mark online, WordPress provides the tools and support needed to turn your vision into reality. With its user-friendly interface, extensive customization options, and vibrant community, WordPress remains the go-to choice for building websites that make an impact.

Overall Rating: 5/5",5
Build a free website with WordPress,By Amrit R,"Aug 10, 2024","1. Enhances Competence
Improved Performance: Developing skills relevant to your job improves your efficiency and effectiveness, making you a more valuable asset to your organization.
Expertise: Gaining expertise in areas critical to your role can set you apart from your peers and position you as a go-to person in your field.
2. Increases Visibility
Recognition: When you master skills that are important to your organization, you are more likely to be noticed by management and peers, leading to increased recognition.
Leadership Opportunities: Being skilled in high-demand areas can make you a natural candidate for leadership roles or special projects.
3. Enhances Problem-Solving Abilities
Creative Solutions: Advanced skills often lead to innovative thinking, allowing you to solve problems more effectively and contribute to strategic decisions.
Efficiency: Improved skills can streamline processes and improve productivity, showing that you can handle more complex tasks.
4. Boosts Confidence
Self-Assurance: Mastery of skills builds confidence in your abilities, which can positively impact how you approach challenges and interact with colleagues.
Presentation: Confidence in your skills can improve your presentation and communication abilities, which are crucial for career advancement.
5. Aligns with Career Goals
Targeted Growth: Developing skills that align with your career goals ensures that you are on the right path for the promotion or role you aspire to achieve.
Career Pathway: Skills related to the next level of your career can prepare you for new responsibilities and roles, making transitions smoother.
6. Opens Up New Opportunities
Broader Scope: Advanced skills can open up opportunities for cross-functional work or involvement in different projects, broadening your experience.
Networking: Skills development often involves interactions with professionals from various fields, expanding your network and opportunities.
7. Enhances Professional Value
Marketability: Advanced skills increase your marketability not only within your current organization but also in the broader job market.
Negotiation Leverage: Skills development provides leverage during performance reviews and salary negotiations, as you can demonstrate your increased value to the company.",5
Build a free website with WordPress,By D.Balaji R,"Aug 15, 2024","A high-quality online course delivers clear, engaging content with practical applications, expert instruction, and interactive elements that enhance learning. It provides flexible access to resources, fosters a supportive community, and ensures measurable progress, making education accessible and effective for diverse learners. Such courses are invaluable for personal and professional growth.",5
Build a free website with WordPress,By Matthew M,"Jul 12, 2024","This basic overview of WordPress options, utilities and tools is fantastic for beginners. The speaker takes the time to not only detail options, but points out possibilities available that are not automatic options for free users. I like the side by side instructional layout as well. This is my first Coursera course, and it was quick, easy, and worth my time.",5
Build a free website with WordPress,By Gleidy S,"Jan 11, 2023","Para ser un curso gratuito y enseñar lo más básico de como crear una página en WordPress esta  bien, solo que si deseas aprender más a fondo cómo funciona y cómo crear una pagina y personalizarla si tendría que buscar más formaciones. Pero para empezar y aprender esta super bien. me ha encantado.",5
Google Ads for Beginners,By ABHISHEK K,"Jun 27, 2020",Totally waste of time. Can't believe that someone can make such a great and interesting topic to such boring and complicated course. Really  She needs to explain more and talk less to herself. I strongly recommend not to take this course. Really Disappointed with Instructor. ,1
Google Ads for Beginners,By Steven K,"Mar 24, 2024","The video is so out of date, I was unable to follow along; the Google Ads steps and interface have been updated by Google, but this video hasn't been updated.",1
Google Ads for Beginners,By David V,"Oct 14, 2020","the worst course ever seen , the instructor even ask us to make a charge to our credit card , if we don't do this, we can't  follow the instructions and finish it.",1
Google Ads for Beginners,By Adelajda K,"Jul 15, 2020",Very poor quality. The quizzes kept giving errors and the learning module was not practical at all. Don't reccomend.,1
Google Ads for Beginners,By Francis R,"Oct 8, 2020","It was a disaster. The main link to be used for the project was not available to copy and paste. So the only option was to type letter by letter, but then Google Ads pointed out some mistakes, and that was because the Rhyme's keyboard is not 100% synchronized with the user's keyboard and even the keys are released, it didn't work and it doesn't work. In fact, a user shared the ink in question, I copied it and the action did not reflect on the student's screen. So please, fix those bugs! And include the doc that contains the link! Thank you!",1
Google Ads for Beginners,By Barbara  D,"Jan 5, 2021","there is no help when you run into problems and there are charges on to your cc.  Many students are asking questions about this, but no help!!!  I cannot complete the course and it is very disturbing.  Why have a forum with only students and no professor??",1
Google Ads for Beginners,By Yusuf S A,"May 19, 2024","The material is too old; the instructor is doing his best, but the course sessions are an old version, so we don't find the same buttons and pages that he/she sees. It's frustrating. ",1
Google Ads for Beginners,By Hunor,"Sep 19, 2020","No content, empty pages, stuck in 'Loading'. This is the first time I experience it on Coursera.",1
Google Ads for Beginners,By Anushka S,"Dec 1, 2020",Not able to view the course material. It just displays 'loading' on the screen. ,1
Google Ads for Beginners,By  M A H,"Jul 25, 2020","The course does not work , I have tried many times to open the course , but nothing comes up.  ",1
Google Ads for Beginners,By Prathamaditya B,"Mar 14, 2024","cant follow along, the content is outdated",1
Google Ads for Beginners,By Lasantha P,"Mar 6, 2021",Didn't even bother to go through the whole course after seen she's opening a document with a code that came out of nowhere (she didn't even try to explain). Totally disappointed. Not recommended.  👎,1
Google Ads for Beginners,By Kumar N,"Sep 27, 2020",This tutorial never ran so I am marking this tutorial with least star rating.,1
Google Ads for Beginners,By Gen o E,"Feb 4, 2021",Doesn't work. Unable to report technical issues,1
Google Ads for Beginners,By Khandaker M A,"Jul 19, 2020",I really appreciate this course a lot. The way this project teaches the topic reminds me how I was taught of writing letters (now I write them pretty well:) ). I would like to take on more projects from this Instructor & I would suggest Coursera to open some more projects of her. I really thank the instructor & would like to follow her other projects. Thank you.,5
Google Ads for Beginners,By Rafiq N S,"Jan 19, 2021","Good course for a beginner. As a person who knows nothing about Google Ads, I become known how to use it. This course gives me enough introduction to make my first campaign.",5
Google Ads for Beginners,By Chea M C,"Jun 15, 2020",the rhyme split screen is very small for us to practice. and my eyes are damn pain after using the rhyme.,4
Google Ads for Beginners,By Toni M,"Aug 18, 2024",hard to follow along when the instructors google ads is different from mine. i dont know how old this video is but i had none of the things the instructor had so im guessing this is an older video because google ads doesn't look like her for me. so i wont be finishing this course which sucks. please update the video it doesn't coincide with todays google ads,2
Google Ads for Beginners,By Firas N,"Mar 1, 2024",No updated in the Google ads layout. No follow.,1
Google Ads for Beginners,By Varun D,"Jul 8, 2020",Great practical course for anyone looking for hands-on experience with Google Ads,5
Google Ads for Beginners,"By Weeradduwa, M P K","Jul 5, 2020",It was very helpful as a beginner. I am starting my first ad campaign soon.,5
Google Ads for Beginners,By Kevin M O E ,"Jul 8, 2020",Gracias Teacher was a great Class with you! Kevin from Colombia,5
